"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
66,55,42,7,2,5,"Republican",4,69,1,1
50,50,53,6,1,5,"Independent",5,23,1,0
100,98,1,7,2,4,"Republican",5,66,1,1
50,50,50,7,1,2,"Independent",5,49,1,0
50,50,5,7,3,4,"Independent",4,42,1,0
80,63,50,2,7,2,"Democrat",4,51,0,1
0,50,51,1,5,2,"Democrat",1,24,0,0
30,80,40,2,4,4,"Independent",3,34,0,1
82,100,91,1,6,1,"Democrat",1,59,0,1
50,4,6,7,3,2,"Republican",3,62,1,0
60,59,50,3,4,2,"Republican",3,52,1,0
95,65,60,2,6,4,"Independent",NA,28,1,1
75,75,60,5,4,4,"Independent",3,34,1,0
100,12,1,7,1,2,"Republican",5,43,1,1
50,90,35,1,7,2,"Independent",3,64,0,0
93,36,3,2,1,4,"Democrat",3,59,1,1
71,99,94,1,997,4,"Democrat",3,41,0,0
96,37,25,3,5,4,"Democrat",NA,32,1,1
85,89,11,7,2,3,"Republican",5,34,1,0
94,70,48,7,2,2,NA,4,64,1,0
76,75,21,7,1,3,"Independent",4,71,1,0
50,50,0,7,1,3,NA,4,60,0,0
51,98,71,2,997,2,"Democrat",2,36,1,1
64,49,50,6,997,2,"Independent",4,43,1,1
61,66,34,7,1,5,"Independent",4,42,1,0
79,98,92,1,7,2,"Democrat",4,67,0,1
59,59,41,7,3,1,"Republican",4,71,1,0
69,98,66,2,4,4,"Democrat",2,59,0,1
100,11,0,7,1,3,"Independent",4,76,1,1
75,75,76,2,6,2,"Democrat",2,28,0,0
50,100,69,1,5,5,"Democrat",2,71,0,0
53,52,7,7,2,5,"Republican",4,62,1,1
61,97,89,2,5,3,"Democrat",3,41,0,1
50,40,40,7,1,4,"Independent",4,55,1,0
85,49,1,7,1,2,"Independent",4,55,1,1
53,50,43,2,5,4,"Democrat",2,56,1,1
53,50,4,7,4,1,"Independent",4,69,0,0
50,50,40,7,1,7,"Independent",3,63,1,1
90,70,10,7,3,2,"Republican",4,66,1,0
88,61,70,2,5,2,"Democrat",2,36,1,1
70,100,41,5,2,3,"Democrat",2,61,1,1
42,NA,12,7,1,6,"Republican",3,74,1,1
80,90,5,7,1,1,"Republican",5,89,1,0
50,51,11,7,2,6,"Independent",5,66,1,0
85,85,85,7,1,7,"Independent",5,59,0,1
97,89,85,5,4,4,"Independent",3,64,1,0
31,99,80,1,7,1,"Democrat",3,41,0,0
75,70,49,2,2,4,"Independent",NA,36,0,1
51,50,1,7,997,3,"Republican",4,70,1,0
60,72,0,2,6,3,"Independent",3,71,1,0
75,100,85,2,6,6,"Independent",2,62,1,0
80,71,71,1,5,3,"Independent",3,60,1,1
59,18,37,7,1,7,"Republican",4,58,1,1
80,80,50,3,5,2,"Independent",3,59,1,0
84,83,50,3,5,1,"Independent",4,60,1,0
70,61,50,7,2,4,"Independent",4,68,1,1
75,99,51,2,5,2,"Democrat",4,63,0,1
82,93,68,7,1,2,"Independent",3,62,1,0
80,97,89,2,7,6,"Democrat",1,65,1,1
